sex percentage is 0
(11, 0, 11)
(8, 0, 8)
(44, 1, 43)
(13, 0, 13)
(7, 0, 7)
(12, 0, 12)
(24, 0, 24)
(8, 0, 8)
(8, 0, 8)
(10, 0, 10)
(13, 0, 13)
(15, 0, 15)
(9, 0, 9)
(9, 0, 9)
(8, 0, 8)
(8, 0, 8)
(32, 0, 32)
(9, 0, 9)
(9, 0, 9)
(15, 0, 15)
(15, 0, 15)
(14, 0, 14)
(9, 0, 9)
(13, 0, 13)
sex percentage is 0.15
(9, 0, 9)
(9, 0, 9)
(75, 4, 71)
(29, 0, 29)
(15, 0, 15)
(9, 0, 9)
(8, 0, 8)
(7, 0, 7)
(22, 0, 22)
(7, 0, 7)
(9, 0, 9)
(10, 0, 10)
(9, 0, 9)
(84, 4, 80)
(73, 10, 63)
(8, 0, 8)
(8, 0, 8)
(9, 0, 9)
(7, 0, 7)
(6, 0, 6)
(16, 0, 16)
(9, 0, 9)
(55, 11, 44)
(8, 0, 8)
(9, 0, 9)
(9, 0, 9)
(32, 0, 32)
(9, 0, 9)
(8, 0, 8)
(13, 0, 13)
(8, 0, 8)
(8, 0, 8)
(11, 0, 11)
(9, 0, 9)
(9, 0, 9)
(20, 0, 20)
(9, 0, 9)
(8, 0, 8)
(75, 16, 59)
(20, 0, 20)
(8, 0, 8)
(16, 0, 16)
(15, 0, 15)
(8, 0, 8)
(8, 0, 8)
(8, 0, 8)
(8, 0, 8)
(30, 0, 30)
(9, 0, 9)
(66, 5, 61)
(7, 0, 7)
(14, 0, 14)
(7, 0, 7)
(17, 0, 17)
(9, 0, 9)
(9, 0, 9)
(14, 0, 14)
(8, 0, 8)
(8, 0, 8)
(8, 0, 8)
(9, 0, 9)
(7, 0, 7)
(8, 0, 8)
(8, 0, 8)
(7, 0, 7)
(8, 0, 8)
(7, 0, 7)
(8, 0, 8)
(6, 0, 6)
(8, 0, 8)
(8, 0, 8)
(8, 0, 8)
(9, 0, 9)
(8, 0, 8)
(8, 0, 8)
(8, 0, 8)
(81, 7, 74)
(19, 0, 19)
(9, 0, 9)
(12, 0, 12)
(10, 0, 10)
(8, 0, 8)
(23, 0, 23)
(8, 0, 8)
(8, 0, 8)
(7, 0, 7)
(15, 0, 15)
(9, 0, 9)
(9, 0, 9)
(8, 0, 8)
(8, 0, 8)
(17, 0, 17)
(8, 0, 8)
(9, 0, 9)
(8, 0, 8)
(9, 0, 9)
(12, 0, 12)
(9, 0, 9)
(9, 0, 9)
(7, 0, 7)
sex percentage is 0.2
(8, 0, 8)
(8, 0, 8)
(8, 0, 8)
(129, 35, 94)
(8, 0, 8)
(42, 0, 42)
(66, 13, 53)
(60, 0, 60)
(258, 125, 133)
(9, 0, 9)
(9, 0, 9)
(270, 68, 202)
(28, 0, 28)
(54, 4, 50)
(124, 38, 86)
(12, 0, 12)
(8, 0, 8)
(9, 0, 9)
(67, 11, 56)
(56, 4, 52)
(7, 0, 7)
(127, 53, 74)
(8, 0, 8)
(9, 0, 9)
(207, 108, 99)
(12, 0, 12)
(8, 0, 8)
(7, 0, 7)
(10, 0, 10)
(8, 0, 8)
(8, 0, 8)
(187, 74, 113)
(19, 0, 19)
(104, 27, 77)
(15, 0, 15)
(14, 0, 14)
(361, 165, 196)
(385, 190, 195)
(9, 0, 9)
(14, 0, 14)
(11, 0, 11)
(8, 0, 8)
(8, 0, 8)
(7, 0, 7)
(10, 0, 10)
(8, 0, 8)
(18, 0, 18)
(10, 0, 10)
(29, 0, 29)
(8, 0, 8)
(9, 0, 9)
(10, 0, 10)
(15, 0, 15)
(8, 0, 8)
(9, 0, 9)
(8, 0, 8)
(12, 0, 12)
(12, 0, 12)
(160, 60, 100)
(7, 0, 7)
(49, 0, 49)
(74, 4, 70)
(31, 0, 31)
(8, 0, 8)
(7, 0, 7)
(30, 0, 30)
(29, 0, 29)
(8, 0, 8)
(7, 0, 7)
(10, 0, 10)
(9, 0, 9)
(9, 0, 9)
(9, 0, 9)
(48, 4, 44)
(9, 0, 9)
(8, 0, 8)
(21, 0, 21)
(58, 11, 47)
(222, 109, 113)
(38, 0, 38)
(99, 32, 67)
(12, 0, 12)
(9, 0, 9)
(14, 0, 14)
(46, 0, 46)
(34, 0, 34)
(42, 0, 42)
(9, 0, 9)
(18, 0, 18)
(8, 0, 8)
(9, 0, 9)
(17, 0, 17)
(13, 0, 13)
(10, 0, 10)
(9, 0, 9)
(9, 0, 9)
(256, 95, 161)
(22, 0, 22)
(9, 0, 9)
(8, 0, 8)
sex percentage is 0.25
(8, 0, 8)
(106, 42, 64)
(8, 0, 8)
(197, 112, 85)
(45, 1, 44)
(476, 222, 254)
(38, 0, 38)
(236, 145, 91)
(9, 0, 9)
(90, 36, 54)
(68, 31, 37)
(97, 30, 67)
(9, 0, 9)
(9, 0, 9)
(14, 0, 14)
(69, 1, 68)
(8, 0, 8)
(9, 0, 9)
(81, 25, 56)
(472, 240, 232)
(13, 0, 13)
(140, 76, 64)
(9, 0, 9)
(8, 0, 8)
(8, 0, 8)
(8, 0, 8)
(9, 0, 9)
(184, 80, 104)
(8, 0, 8)
(422, 221, 201)
(10, 0, 10)
(9, 0, 9)
(7, 0, 7)
(9, 0, 9)
(27, 0, 27)
(8, 0, 8)
(20, 0, 20)
(235, 141, 94)
(13, 0, 13)
(8, 0, 8)
(8, 0, 8)
(9, 0, 9)
(8, 0, 8)
(14, 0, 14)
(9, 0, 9)
(9, 0, 9)
(8, 0, 8)
(7, 0, 7)
(36, 3, 33)
(87, 4, 83)
(124, 32, 92)
(991, 518, 473)
(9, 0, 9)
(8, 0, 8)
(9, 0, 9)
(14, 0, 14)
(471, 285, 186)
(155, 63, 92)
(118, 47, 71)
(186, 93, 93)
(8, 0, 8)
(27, 0, 27)
(520, 261, 259)
(294, 169, 125)
(252, 125, 127)
(939, 555, 384)
(8, 0, 8)
(8, 0, 8)
(8, 0, 8)
(17, 0, 17)
(12, 0, 12)
(8, 0, 8)
(9, 0, 9)
(226, 104, 122)
(8, 0, 8)
(9, 0, 9)
(18, 0, 18)
(7, 0, 7)
(9, 0, 9)
(14, 0, 14)
(32, 0, 32)
(874, 474, 400)
(129, 58, 71)
(258, 113, 145)
(8, 0, 8)
(34, 9, 25)
(83, 5, 78)
(279, 120, 159)
(8, 0, 8)
(7, 0, 7)
(83, 13, 70)
(10, 0, 10)
(8, 0, 8)
(7, 0, 7)
(12, 0, 12)
(8, 0, 8)
(60, 8, 52)
(8, 0, 8)
(53, 3, 50)
(13, 0, 13)
sex percentage is 0.3
(10, 0, 10)
(369, 236, 133)
(9, 0, 9)
(20, 0, 20)
(453, 317, 136)
(72, 17, 55)
(9, 0, 9)
(738, 477, 261)
(8, 0, 8)
(8, 0, 8)
(8, 0, 8)
(8, 0, 8)
(8, 0, 8)
(19, 0, 19)
(813, 535, 278)
(1557, 1079, 478)
(9, 0, 9)
(7, 0, 7)
(309, 197, 112)
(669, 435, 234)
(9, 0, 9)
(11, 0, 11)
(8, 0, 8)
(459, 308, 151)
(8, 0, 8)
(350, 219, 131)
(8, 0, 8)
(9, 0, 9)
(10, 0, 10)
(8, 0, 8)
(8, 0, 8)
(8, 0, 8)
(9, 0, 9)
(7, 0, 7)
(7, 0, 7)
(8, 0, 8)
(8, 0, 8)
(114, 59, 55)
(967, 637, 330)
(98, 41, 57)
(9, 0, 9)
(490, 313, 177)
(9, 0, 9)
(8, 0, 8)
(8, 0, 8)
(640, 461, 179)
(20, 0, 20)
(9, 0, 9)
(9, 0, 9)
(13, 0, 13)
(374, 216, 158)
(15, 0, 15)
(565, 352, 213)
(32, 0, 32)
(8, 0, 8)
(639, 387, 252)
(1109, 787, 322)
(8, 0, 8)
(9, 0, 9)
(318, 210, 108)
(438, 279, 159)
(328, 170, 158)
(9, 0, 9)
(836, 542, 294)
(9, 0, 9)
(539, 320, 219)
(8, 0, 8)
(10, 0, 10)
(9, 0, 9)
(12, 0, 12)
(537, 350, 187)
(1669, 1145, 524)
(350, 205, 145)
(8, 0, 8)
(32, 0, 32)
(8, 0, 8)
(704, 458, 246)
(1136, 729, 407)
(376, 221, 155)
(331, 190, 141)
(12, 0, 12)
(765, 460, 305)
(8, 0, 8)
(508, 338, 170)
(665, 404, 261)
(8, 0, 8)
(11, 0, 11)
(10, 0, 10)
(8, 0, 8)
(8, 0, 8)
(917, 643, 274)
(145, 64, 81)
(176, 97, 79)
(13, 0, 13)
(21, 0, 21)
(748, 550, 198)
(8, 0, 8)
(9, 0, 9)
(845, 572, 273)
(8, 0, 8)
sex percentage is 0.35
(2284, 1729, 555)
(8, 0, 8)
(9, 0, 9)
